Page Name,Child,Column,Last edited by,Parent,Tags,Problems
Electrostaic Pressure,,"Sep 4, 2020 10:26 AM",Soutrik das,,physics,
LC Oscillations,,"Sep 4, 2020 10:26 AM",Soutrik das,,physics,
The maximum electric field at a point on the axis of a uniformly charged ring is $E_0$. At how many points on the axis will the magnitude of the electric field be $E_0/2$,,"Sep 6, 2020 8:54 AM",Soutrik das,../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"physics, question",
A conducting spherical shell is earthed. A positive charge $+q_1$ is placed at the center and another small positive charge $+q_2$ is placed at a distance $r$ from $q_1$. The force on $q_2$ is ?,,"Sep 6, 2020 8:57 AM",Soutrik das,"../Shielding%20Effect%20c6175c2fc13b466587b67956a3d9bdbd.md, ../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md","doubt, physics, question",
Shielding Effect,../A%20conducting%20spherical%20shell%20is%20earthed%20A%20positive%206e09fc30c073491a94b0ebc0b9769c87.md,"Sep 5, 2020 4:11 PM",Soutrik das,,physics,
Dielectric,"../A%20dielectric%20in%20the%20form%20of%20a%20sphere%20is%20introduced%2093525269416b40ffb362c4c3cbb5b739.md, ../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md","Sep 7, 2020 8:46 PM",Soutrik das,,,
"A dielectric in the form of a sphere is introduced into a homogeneous electric field. $A$, $B$, $C$ are three points as shown in figure.",,"Oct 9, 2020 9:40 PM",Soutrik das,"../Dielectric%20224a5f771d714fb78f404df0bcf63c22.md, ../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md","doubt, doubt cleared, physics",
"Uniformly charged hemisphere of radius R. It has a volume charge density $\rho$. If the electric field at point $2R$ above its center is $E$, then what is the electric field at the point $2R$ below its center?",,"Oct 9, 2020 9:40 PM",Soutrik das,,"doubt, doubt cleared, physics",
"A conic surface is placed in a uniform electric field $E$ such that the field is perpendicular to the surface on the side $AB$. the base of the cone is of radius $R$ , find magnitude of incoming flux ",,"Sep 6, 2020 8:56 AM",Soutrik das,../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"physics, question",
"Solid angle ",,"Sep 24, 2020 3:04 PM",Soutrik das,,"maths, physics",
A non conducting sphere of radius $R$ is filled with uniform volume charge density $-\rho$. The center of this sphere is displaced from the origin by $\vec d$. The electric field $\vec E$ at any point P is ?,,"Sep 6, 2020 8:53 AM",Soutrik das,../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"physics, question",
Cengage BM Sharma,"../A%20non%20conducting%20sphere%20of%20radius%20R%20is%20filled%20with%207a71adeef4fb4415834f39a3a95f8895.md, ../A%20conic%20surface%20is%20placed%20in%20a%20uniform%20electric%20fi%20971e1d5f19f44151bcbf40137a68239e.md, ../A%20conducting%20spherical%20shell%20is%20earthed%20A%20positive%206e09fc30c073491a94b0ebc0b9769c87.md, ../The%20maximum%20electric%20field%20at%20a%20point%20on%20the%20axis%20%20dac8ce1317344114bedc4bb6e68ecec4.md, ../A%20dielectric%20in%20the%20form%20of%20a%20sphere%20is%20introduced%2093525269416b40ffb362c4c3cbb5b739.md","Oct 9, 2020 9:26 PM",Soutrik das,../Books%20c09fa9d40bfa499ba9545c5017dd2010.md,"book, physics",
Paralell conducting plates,"../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md, ../Redistributing%20Charges%20Grounding%20(%20Connecting%20char%20629b314ecb0341b380fa2ecb23d86d71.md","Oct 9, 2020 9:40 PM",Soutrik das,,"doubt, doubt cleared, physics",
"Electric Potential ","../E_s=-%20frac%7BdV%7D%7Bds%7D%20where%20E_s%20is%20the%20component%20of%20e%20c2b325bf29a646c29cf20e1fb5079e60.md, ../If%20we%20have%20a%20conducting%20sphere%20and%20a%20charge%20in%20vic%2088108bfeb3cd4866b2fda221c0a83bb8.md, ../When%20does%20zero%20electric%20flux%20mean%20that%20the%20electri%20957b1366aee94166a88f597a6ade8fdd.md, ../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md","Sep 11, 2020 3:11 PM",Soutrik das,,"chapter, physics",
How to determine if a force is Conservative ?,,"Sep 6, 2020 9:30 PM",Soutrik das,,physics,
$E_s=-\frac{dV}{ds}$ where $E_s$ is the component of electric field in the direction of $ds$. But if given the potential and position of two points what can we get ?,,"Oct 9, 2020 9:40 PM",Soutrik das,../Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"doubt, doubt cleared, physics",
"If we have a conducting sphere and a charge in vicinity , then the spheres center is bound to have some electric field , but conductors ( at equilibrium) dont have electric field in them",,"Sep 12, 2020 12:40 PM",Soutrik das,../Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"doubt, physics, question",
D3js,,"Oct 9, 2020 9:05 PM",Soutrik das,../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md,,
When does zero electric flux mean that the electric field is zero ?,,"Sep 12, 2020 12:40 PM",Soutrik das,../Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"doubt, physics, question",
Isomerism,../Wedge%20Dash%20To%20Fischer%20and%20reverse%209d3f53dd92594f30b6b127cffa7d0e24.md,"Sep 25, 2020 8:28 AM",Soutrik das,,chemistry,
"Adding H and X [Markonikov,oos]",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",chemistry,
"Alkene ",,"Sep 9, 2020 6:07 PM",Soutrik das,,,
"Adding H and Br , [Anti-Markonikov,oos]",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
"Adding H and OH ,  Acid Catalyzed Hydration [Markonikov, oos]",,"Nov 23, 2020 2:30 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
Removing OH and H : Acid Catalyzed DeHydration [zaitsev],,"Oct 10, 2020 7:00 PM",Soutrik das,"../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
"Adding H and OH [atni-markonikov, syn]",../Borane%20BH_3%20c67e9a17d9e348a4bbff7fa6b8ff8b89.md,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",chemistry,
Borane $BH_3$,../THF%20Tetrahydrofuran%20c8917210d23d4c4ab1fec2f04e13b42e.md,"Oct 9, 2020 9:56 PM",Soutrik das,"../Adding%20H%20and%20OH%20%5Batni-markonikov,%20syn%5D%20642356c60c614d329b21d774db9d0f8c.md, ../Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md",,
THF Tetrahydrofuran,,"Oct 9, 2020 9:54 PM",Soutrik das,"../Borane%20BH_3%20c67e9a17d9e348a4bbff7fa6b8ff8b89.md, ../Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md",,
Synthesis / Conversion Techniques,../Tosylates%205564a7748d1a49c4a2761bb616772ba3.md,"Sep 10, 2020 12:33 PM",Soutrik das,../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md,chemistry,
Bulky Base,../LDA%20Lithium%20Di-Isopropyl%20Amide%2044f4b40077914a91ab3ae4ddd780ea64.md,"Sep 10, 2020 9:33 AM",Soutrik das,,,
"LDA Lithium Di-Isopropyl Amide ",,"Oct 9, 2020 9:54 PM",Soutrik das,"../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md, ../Bulky%20Base%205c1a5627ec514d12b4a744c4b5650a95.md, ../Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md",,
t-Butoxide : Tertiary Butoxide,,"Sep 10, 2020 9:34 AM",Soutrik das,../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,,
Tosylates,,"Sep 10, 2020 10:19 AM",Soutrik das,../Synthesis%20Conversion%20Techniques%207648e51e5d744b8887d5e8ddcc3c1274.md,,
"All Chemistry Reactions ","../Removing%20=O%2062983174fc1e4db4b2bf01241575e956.md, ../Oxymercuration%20Reaction%20(%20Adding%20H%20and%20OH%20in%20a%20dif%200e56f53b015a4ae8aaeb9583f3df203f.md, ../Adding%20Br%20and%20Br%20%5Birr,anti%5D%2066f98741cd904714bee84e17d5d2ebbc.md, ../Adding%20H%20and%20OH%20%5Batni-markonikov,%20syn%5D%20642356c60c614d329b21d774db9d0f8c.md, ../Adding%20H%20and%20OH%20,%20Acid%20Catalyzed%20Hydration%20%5BMarkon%2055ac132ae66e46bbb533165e1257bcf8.md, ../Adding%20H%20and%20Br%20,%20%5BAnti-Markonikov,oos%5D%20240917816be04ae6a158cc542aa24cca.md, ../Adding%20H%20and%20X%20%5BMarkonikov,oos%5D%20faa09357d9ea49549a80b8715da440f9.md, ../Adding%20Hydrogen%20Hydrogenation%20%5Birr,syn%5D%2085c08d3142734539b0200f3295479f80.md, ../Removing%20OH%20and%20H%20Acid%20Catalyzed%20DeHydration%20%5Bzait%20df170e3acf564a559bccd42ed13cdf6c.md","Sep 10, 2020 3:12 PM",Soutrik das,,chemistry,
"Adding Br and Br [irr,anti]",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
"Capacitance ","../In%20the%20circuit%20shown,%20initially%20there%20is%20no%20charge%208e5f10ffb6b346daa9f3f9e216ba0a67.md, ../Redistributing%20Charges%20Grounding%20(%20Connecting%20char%20629b314ecb0341b380fa2ecb23d86d71.md, ../Charging%20Discharging%20Capacitor%20Inductor%20(%20RC%20and%20L%20002e3621f4cd4ab3b63fc4e02e6661cb.md, ../Two%20uncharged%20identical%20Capacitors%20A%20and%20B%20,%20each%20%209b1d619e7a424dbb9cbfc826d9049eed.md","Sep 26, 2020 12:02 PM",Soutrik das,"../Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md, ../Dielectric%20224a5f771d714fb78f404df0bcf63c22.md, ../Paralell%20conducting%20plates%201f63b4b8c449472b98565622c9ec6843.md",physics,
"Redistributing Charges Grounding ( Connecting charged spheres with more charged Spheres ) ",,"Sep 23, 2020 8:37 PM",Soutrik das,"../Paralell%20conducting%20plates%201f63b4b8c449472b98565622c9ec6843.md, ../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md",physics,
"A Population increases with 2% rate every year , at the end of n years the final population was 40% more than the initial population , what is the value of $n$?",,"Sep 11, 2020 6:00 PM",Soutrik das,,,
Self Potential ( of a Hollow Sphere ),,"Sep 11, 2020 8:21 PM",Soutrik das,,,
Batteries ( Series / Parallel Combination ),,"Sep 11, 2020 8:23 PM",Soutrik das,,,
"A projectile of mass 2 kg has velocities $3 m /s$ and $4m/s$ at two points during its flight in the uniform gravitational field of Earth. If these velocities are perpendicular to each other then the minimum kinetic energy of the particle during its flight is ?  ",,"Oct 9, 2020 9:40 PM",Soutrik das,../Projectile%20Motion%20a89acea531e94b45b8fb0e53100eea95.md,"doubt, doubt cleared, physics, question",
"Projectile Motion ",../A%20projectile%20of%20mass%202%20kg%20has%20velocities%203%20m%20s%20and%20ab26483a0bf1412c9693a7ad29082ff8.md,"Sep 12, 2020 9:11 AM",Soutrik das,,physics,
A rocket is fired vertically from the surface of the earth with a speed v. How far from the earth does the rocket go before returning to the Earth? ( where $R_E$ is the radius of earth is $g$ is accel due to gravity ),,"Oct 9, 2020 9:40 PM",Soutrik das,../Gravitation%205b41f84923104a61a648375dc734154d.md,"doubt, doubt cleared, physics, question",
Gravitation,../A%20rocket%20is%20fired%20vertically%20from%20the%20surface%20of%20t%20ee841ec2d9ef4c4cabbea9fe9e7a4ae0.md,"Sep 12, 2020 11:44 AM",Soutrik das,,,
Fluid Statics ( Hydrostatics ),"../A%20wooden%20block%20with%20a%20coin%20placed%20on%20its%20top,%20floa%20e33a6cc030d043d08c37db5a3cca2028.md, ../Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md, ../A%20block%20of%20ice%20with%20a%20lead%20shot%20embedded%20in%20it%20is%20%20b8fe2b50973d4541879baf170aaa6cb3.md, ../A%20hemispherical%20portion%20of%20Radius%20R%20is%20removed%20fro%20dc8f43cec2fa405dbddd4ec7768a3056.md, ../A%20thin%20uniform%20cylindrical%20shell%20,%20closed%20at%20both%20%2028ba4f3fa05c436190ec50c21b8c9d62.md, ../A%20cylindrical%20capillary%20tube%20of%200%202%20mm%20radius%20is%20m%202b54ce7ef00a455592040d1fec07c0a7.md, ../Concave%20v%20s%20Convex%20e158c7e95e5542e8941bd3b43c191a5b.md","Sep 23, 2020 8:51 AM",Soutrik das,,"chapter, physics",
Solid States,"../Which%20has%20more%20Surface%20area%20n-Butane%20or%20IsoButane%2061d59ef3a96c49d888d60ff1936c9772.md, ../Solvation%20Energy%2048c3996f3c0443a0a79bb692498b6033.md, ../How%20to%20Find%20the%20height%20of%20hcp%200be6a02b3a1d4d86baf1420e7fd52b26.md","Sep 14, 2020 2:34 PM",Soutrik das,,"chapter, chemistry",
Which has more  Surface area ? n-Butane or IsoButane ?,,"Sep 13, 2020 4:00 PM",Soutrik das,../Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,"chemistry, doubt",
"Solvation Energy ",,"Sep 13, 2020 4:28 PM",Soutrik das,../Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,,
COM Center of Mass,../An%20automobile%20has%20a%20weight%20of%202700%20lb%20and%20is%20trave%200cece94af0ae41c193638a8f0a2bff7e.md,"Sep 13, 2020 8:36 PM",Soutrik das,,"chapter, physics",
Question Type,,"Sep 13, 2020 10:08 PM",Soutrik das,,,
"Fitjee Archive ",,"Sep 13, 2020 10:12 PM",Soutrik das,,question book,
"A wooden block with a coin placed on its top, floats in water as shown in the figure. the distance $l$ and $h$ are shown there. After some time the coin falls into the water , what happens to $l$ and $h$ ",,"Sep 13, 2020 10:37 PM",Soutrik das,"../Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md, ../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md","physics, question",
Complex Archimedes Theorem problems,"../A%20wooden%20block%20with%20a%20coin%20placed%20on%20its%20top,%20floa%20e33a6cc030d043d08c37db5a3cca2028.md, ../A%20block%20of%20ice%20with%20a%20lead%20shot%20embedded%20in%20it%20is%20%20b8fe2b50973d4541879baf170aaa6cb3.md","Sep 14, 2020 7:47 AM",Soutrik das,../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,physics,
"A block of ice with a lead shot embedded in it is floating on water contained in a vessel. The temperature of the system is maintained at $0\degree C$ as the ice melts. When the ice melts completely , does the level of water rises ",,"Sep 14, 2020 7:44 AM",Soutrik das,"../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, ../Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md","physics, question",
A hemispherical portion of Radius R is removed from the bottom of a cylinder of Radius R . The Volume of the remaining cylinder is V and its mass is M . It is suspended by a string in a liquid of density $\rho$ where it stays vertical . The upper surface of the cylinder is $h$ hight below surface. What is the force on the bottom by the liquid ?,,"Sep 14, 2020 8:01 AM",Soutrik das,../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,"physics, question",
"A thin uniform cylindrical shell , closed at both ends, is partially filled with water. It is floating vertically in water in half submerged state. If $\rho_c$ is the RD of shell then relation between $\rho_c$ and water level inside is ?",,"Sep 14, 2020 9:07 AM",Soutrik das,../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,"doubt, physics, question",
"A large open tank has two small holes in the wall. One is square hole of side L at depth y from the top and the other is a circular hole of radius R at a depth 4y from the top. When the tank is completely filled with water, the quantities of water flowing out per second from both holes are the same. Then what is the value of R?",,"Sep 14, 2020 10:07 AM",Soutrik das,,"doubt, physics, question",
"How to Find the height of hcp ",,"Sep 14, 2020 6:56 PM",Soutrik das,../Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,"chemistry, question",
Double Bond Equivalent ( Degree of Unsaturation ),,"Sep 25, 2020 8:06 PM",Soutrik das,,,
"Oxymercuration Reaction ( Adding H and OH in a different way ) ",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
"Complex NLM and SHM problem ",,"Sep 18, 2020 3:25 PM",Soutrik das,,"adv, question",
"NLM Contraint Motion ",,"Sep 17, 2020 11:54 AM",Soutrik das,,"chapter, physics",
"SHM ",,"Sep 18, 2020 10:58 AM",Soutrik das,,,
"Consider a spherical gaseous cloud of mass density $\rho(r)$ in free space where r is the radial distance from its center. The gaseous cloud is made of particles of equal mass $m$ moving in circular orbits around the common center with the same kinetic energy $K$  The force acting on the particles is their mutual gravitational force. If $\rho(r)$ is constant with time , the particle density $n(r)=\rho (r)/m$ is ?",,"Sep 23, 2020 2:31 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../Copy%20of%20Leibnitz%20Theorem%20for%20Implicit%20Functions%206585481f6320423ab06910df2464e089.md","adv, physics, question",
JEE ADV 2019 paper 1,"../Consider%20a%20spherical%20gaseous%20cloud%20of%20mass%20density%2015d7cd8b741b472c83d2a848a9025faa.md, ../A%20current%20carrying%20wire%20heats%20a%20metal%20rod%20The%20wire%20fbcef34181724aa9807dde75231aef75.md, ../Copy%20of%20In%20a%20radioactive%20sample,%20%5E%7B40%7D%20_%7B19%7DK%20nucl%20745a354fff4d445b842e1d3baa92b045.md, ../The%20correct%20order%20of%20acid%20strength%20of%20carboxylic%20a%20d1115d5f1b2b4d9da94ebcf0a4b8a3dc.md, ../A%20cylindrical%20capillary%20tube%20of%200%202%20mm%20radius%20is%20m%202b54ce7ef00a455592040d1fec07c0a7.md, ../A%20conducting%20wire%20of%20parabolic%20shape,%20initially%20y=%207a79f0c4003140cf8d95b60ea48bb24c.md, ../A%20charged%20shell%20of%20radius%20R%20carries%20a%20total%20charge%204f157553c7064ffebba75e31654d4e25.md, ../In%20the%20circuit%20shown,%20initially%20there%20is%20no%20charge%208e5f10ffb6b346daa9f3f9e216ba0a67.md, ../One%20mole%20of%20a%20monoatomic%20ideal%20gas%20goes%20through%20a%20%2019f02ca282ee4492b14fc9dcfc9cd179.md, ../A%20thin%20convex%20lens%20is%20made%20of%20two%20materials%20with%20r%205684d9a522eb4c5e88d1c99f3010110e.md","Sep 26, 2020 7:42 AM",Soutrik das,,,
A Thin Spherical insulating shell of Radius $R$ carries a uniformly distributed charge  such that the potential at its surface is $V_o$. A hole with a small area $\alpha 4 \pi R^2 (\alpha <<1)$ is made on the shell  without affecting the rest of the shell . Which is correct ?,,"Sep 19, 2020 11:11 AM",Soutrik das,,,
A current carrying wire heats a metal rod. The wire provides a constant power ($P$) to the rod. The metal rod is enclosed in an insulated container. It is observed that  the temperature $(T)$ in the metal rod changes with time $(t)$as $T(t)=T_0(1+\beta t^{\frac 14})$ where $\beta$ is a constant with appropriate dimension while $T_0$ is a constant with dimension of Temperature. What is the heat capacity of the metal?,,"Sep 23, 2020 2:31 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
Find Electric Flux when equation of Electric Field is given as $E=E_0(\beta x^2\hat i +2\hat j+15 \hat k)$,,"Sep 26, 2020 3:47 PM",Soutrik das,../Electric%20Field%20(%20Gauss%20Law%20)%20d957b7fe60664b469168b278edad7ca0.md,"physics, question",
Pointers C++,,"Oct 11, 2020 9:15 PM",Soutrik das,../C++%20af78ebe91d7e4bd78a6245cc8bc0e666.md,,
"CMD ",,"Nov 17, 2020 3:27 PM",Soutrik das,,,
"The Chemical History of Candle ",,"Sep 21, 2020 8:14 PM",Soutrik das,,,
"Quantum Numbers ",,"Sep 22, 2020 9:01 AM",Soutrik das,,chemistry,
"Atomic Structure ",../Centrifugal%20and%20Centripetal%20Force%2021d343001d034d23be45afa5ef4c47f7.md,"Sep 22, 2020 12:00 PM",Soutrik das,,"chapter, chemistry",
Centrifugal and Centripetal Force,,"Sep 22, 2020 11:31 AM",Soutrik das,../Atomic%20Structure%209f25389bb5e84705b3194a7e4aeb473b.md,,
EPASR,,"Sep 22, 2020 5:03 PM",Soutrik das,,,
JEE ADV Questions,,"Sep 26, 2020 7:41 AM",Soutrik das,,,
"The correct order of acid strength of carboxylic acids ",,"Sep 23, 2020 2:32 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, chemistry, doubt, question",
"A cylindrical capillary tube of $0.2 mm$ radius is made by joining two capillaries T1 and T2 of different materials having water contact angles of $0\degree$ and $60\degree$, respectively. The capillary tube is dipped vertically in water in two different configurations, case I and II as shown in figure. Which of the following option(s) is(are) correct?",,"Oct 10, 2020 7:05 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, ../Recordable%20684983d3dc7542b29a3396af15f18c15.md","adv, doubt cleared, physics, question",
"Concave v/s Convex ",,"Sep 26, 2020 3:10 PM",Soutrik das,"../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, ../Optics%209bb9f3e50d454a969522b72343c81b20.md","doubt, physics",
Optics,"../Concave%20v%20s%20Convex%20e158c7e95e5542e8941bd3b43c191a5b.md, ../A%20thin%20convex%20lens%20is%20made%20of%20two%20materials%20with%20r%205684d9a522eb4c5e88d1c99f3010110e.md","Sep 24, 2020 2:31 PM",Soutrik das,,,
Blender,,"Oct 14, 2020 2:21 PM",Soutrik das,,,
"A conducting wire of parabolic shape, initially $y=x^2$ , is moving with velocity $\vec V=V_0 \hat i$ in a non uniform magnetic field $\vec B=B_0\left( 1+\left( \frac y L \right) ^\beta \right) \hat k$. If $V_0$ , $B_0$, $L$ and $\beta$ are positive constants and $\Delta \phi$ is the potential difference developed between the ends of the wire, then which statement is correct ",,"Sep 23, 2020 5:23 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md","adv, physics, question",
"Some easy EMI questions ",,"Sep 23, 2020 4:30 PM",Soutrik das,../EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md,question,
$V=\int \vec x \cdot d \vec l$ when x is constant becomes $V=x\int d\vec l$,,"Sep 26, 2020 3:10 PM",Soutrik das,,"maths, physics",
"In the circuit shown, initially there is no charge on capacitors and keys $S_1$ and $S_2$ are open. The values of the capacitors are $C_1=10 \mu F$, $C_2=30 \mu F$, $C_3=C_4=80 \mu F$. Which statement(s) is correct?",,"Sep 24, 2020 1:36 PM",Soutrik das,"../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md, ../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md","adv, physics, question",
Gatsby.js,,"Nov 17, 2020 8:43 PM",Soutrik das,"../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../JavaScript%20(js)%205d333253d0494518836c9919601069d3.md",,
"A charged shell of radius $R$ carries a total charge $Q$. Given $\Phi$ as the flux of electric field through a closed cylindrical surface of $h$, radius $r$ and with its center same as that of the shell. Here, center of the cylinder is a point on the axis of the cylinder which is equidistanc from its top and bottom surfaces. ",,"Sep 24, 2020 1:36 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
Technology,"../Embed%20Google%20Photos(not%20gif)%20into%20Notion%209e82190d902a49da85796d3fe9a682fe.md, ../Embed%20Big%20Gif%20files%20into%20Notion%2095a2e61c7aa543f1bd968b6acff00793.md, ../Embed%20Codepens%20642b9cc277c747f59d454c85895f29a7.md","Oct 9, 2020 9:10 PM",Soutrik das,../Pending%20Review%20Page%20(%20Page%20Tag%20)%206018cebcfa3e42bea458a555246ab302.md,,
Embed Google Photos(not gif) into Notion,,"Sep 24, 2020 8:53 AM",Soutrik das,../Technology%204de1a6b8321042ff8745fedc23514a99.md,,
Embed Big Gif files into Notion,,"Sep 24, 2020 8:55 AM",Soutrik das,../Technology%204de1a6b8321042ff8745fedc23514a99.md,,
"One mole of a monoatomic ideal gas goes through a thermodynamic cycle, as shown in the volume versus Temperature ($V-T$) diagram",,"Sep 24, 2020 2:19 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
"A thin convex lens is made of two materials with refractive indices $n_1$ and $n_2$, as shown. The radius of curvature of the left and right spherical surfaces are equal. $f$ is the focal length of the lens when $n_1=n_2=n$. The fola length is $f+\Delta f$ when $n_1=n$ and $n_2=n+\Delta n$. Assuming $\Delta n <<(n-1)$ and $1<n<2$, what is correct ",,"Oct 9, 2020 9:40 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../Optics%209bb9f3e50d454a969522b72343c81b20.md","adv, doubt cleared, physics, question",
"Lower end of a uniform inextensible rope of mass $2$ kg and length $4m$ is attached to a block of mass $7.5kg$ placed on a horizontal floor. $\mu=0.5$. The uppoer end of the rope is held $2m$ above the lower end so that the tangent at the lower end remains http://horizontal.In this situation , the block stays standstill on the floor. $g=10$",,"Sep 24, 2020 4:48 PM",Soutrik das,,"adv, doubt, physics, question",
"Two identical moving coild galvanometers have 10 $\Omega$ resistance and full scale deflection at 2 $\mu A$ current. One of them is converted into a voltmeter of $100mV$ full scale reading and the other into an ammeter of $1mA$ full scale reading using appropriate resistors. These are then used to measure the voltage and current in the ohms law experiment with $R=1000\Omega$ by using an ideal cell ",,"Sep 24, 2020 6:55 PM",Soutrik das,,"adv, question",
"Removing =O ",,"Oct 10, 2020 6:59 PM",Soutrik das,../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md,chemistry,
"Surface Chemistry ",,"Sep 25, 2020 4:46 PM",Soutrik das,,,
Conversion,../Conversion%201%207f226bb89c0f45308161db9bb3e9a285.md,"Sep 25, 2020 6:24 PM",Soutrik das,,,
Conversion 1,,"Oct 10, 2020 7:08 PM",Soutrik das,../Conversion%20db9e787fa36c4ba5afd8a879bf34dd5c.md,chemistry,
JEE ADV 2018 paper 1,"../The%20potential%20energy%20of%20a%20particle%20of%20mass%20m%20at%20a%20%2089a3ab09edc74fc1a49aac317c2d6f30.md, ../Consider%20a%20body%20of%20mass%201kg%20at%20rest%20at%20the%20origin%20%20a5fea645754a4858910f5247fe48c1d6.md, ../In%20the%20figure%20below,%20the%20switches%20S_1%20and%20S_2%20are%20%20aa33d3e50a9e4613bb48996443aaf0aa.md","Sep 26, 2020 7:43 AM",Soutrik das,,,
