Page Name,Tags,Child,Parent,Column,Last edited by,Problems
Copy of Approximation  in Definite Integration,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
Wedge Dash To Fischer and reverse,chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Isomerism%20d75a5631e5684c1da41117e185066ac9.md,"Sep 25, 2020 11:04 AM",Soutrik das,
Copy of How does hybridization work ?,chemistry,,,"Aug 26, 2020 12:52 PM",Soutrik das,
"Copy of Gradient ",maths,,,"Aug 26, 2020 12:52 PM",Soutrik das,
Copy of Derangements,maths,,,"Aug 26, 2020 12:52 PM",Soutrik das,
Copy of Parts per Millions (ppm),chemistry,,,"Aug 26, 2020 12:52 PM",Soutrik das,
Copy of ex radius,maths,,,"Aug 26, 2020 12:52 PM",Soutrik das,
Copy of in radius,maths,,,"Aug 26, 2020 12:52 PM",Soutrik das,
Copy of Leibnitz theorem for Explicit Functions,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
"Copy of Leibnitz Theorem for Implicit Functions ",maths,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Consider%20a%20spherical%20gaseous%20cloud%20of%20mass%20density%2015d7cd8b741b472c83d2a848a9025faa.md,,"Aug 26, 2020 12:48 PM",Soutrik das,
Copy of Implicit v/s Explicit Function,maths,,,"Aug 26, 2020 12:48 PM",Soutrik das,
Copy of Approximation ($\ge$ or $\le$) in Definite Integration,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
Copy of Approximation (Odd or Even) in Definite Integration,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
Copy of Improper Integral,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
"Copy of Integral as a Limit of  a Sum ",maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
Cardan's Method,maths,,,"Aug 26, 2020 3:52 PM",Soutrik das,
"Copy of Partial Fractions ",maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:20 PM",Soutrik das,
Basics of Virtual Environment Python,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md,"Oct 9, 2020 9:33 PM",Soutrik das,
Remainder Theorem,maths,,,"Aug 27, 2020 10:56 AM",Soutrik das,
Complex Numbers,"chapter, maths","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Coordinate%20Geometry%206c24e8c54553431cbdb416a2da860633.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Let%20s,t,r%20be%20non-zero%20complex%20numbers%20and%20L%20be%20the%204f76b81aceb34603a2a2f03500d69d5e.md",,"Oct 9, 2020 9:44 PM",Soutrik das,
$x^2(y-x \frac{dy}{dx})=y(\frac{dy}{dx})^2$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Differential%20Equation%20140b16dfa0854772803fa71633eb3ff2.md,"Aug 27, 2020 3:19 PM",Soutrik das,
JEE ADV 2018 Paper 2,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Let%20s,t,r%20be%20non-zero%20complex%20numbers%20and%20L%20be%20the%204f76b81aceb34603a2a2f03500d69d5e.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,"Oct 9, 2020 9:47 PM",Soutrik das,
JEE ADV 2019 paper 2,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,"Oct 9, 2020 9:47 PM",Soutrik das,
Home Page,,,,"Aug 30, 2020 1:02 PM",Soutrik das,
Optics,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Concave%20v%20s%20Convex%20e158c7e95e5542e8941bd3b43c191a5b.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20thin%20convex%20lens%20is%20made%20of%20two%20materials%20with%20r%205684d9a522eb4c5e88d1c99f3010110e.md",,"Sep 24, 2020 2:31 PM",Soutrik das,
"Concave v/s Convex ","doubt, physics",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Optics%209bb9f3e50d454a969522b72343c81b20.md","Sep 26, 2020 3:10 PM",Soutrik das,
"A cylindrical capillary tube of $0.2 mm$ radius is made by joining two capillaries T1 and T2 of different materials having water contact angles of $0\degree$ and $60\degree$, respectively. The capillary tube is dipped vertically in water in two different configurations, case I and II as shown in figure. Which of the following option(s) is(are) correct?","adv, doubt cleared, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Recordable%20684983d3dc7542b29a3396af15f18c15.md","Oct 10, 2020 7:05 PM",Soutrik das,
Blender,,,,"Oct 14, 2020 2:21 PM",Soutrik das,
"A charged shell of radius $R$ carries a total charge $Q$. Given $\Phi$ as the flux of electric field through a closed cylindrical surface of $h$, radius $r$ and with its center same as that of the shell. Here, center of the cylinder is a point on the axis of the cylinder which is equidistanc from its top and bottom surfaces. ","adv, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"Sep 24, 2020 1:36 PM",Soutrik das,
Gatsby.js,,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JavaScript%20(js)%205d333253d0494518836c9919601069d3.md","Nov 17, 2020 8:43 PM",Soutrik das,
"In the circuit shown, initially there is no charge on capacitors and keys $S_1$ and $S_2$ are open. The values of the capacitors are $C_1=10 \mu F$, $C_2=30 \mu F$, $C_3=C_4=80 \mu F$. Which statement(s) is correct?","adv, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md","Sep 24, 2020 1:36 PM",Soutrik das,
$V=\int \vec x \cdot d \vec l$ when x is constant becomes $V=x\int d\vec l$,"maths, physics",,,"Sep 26, 2020 3:10 PM",Soutrik das,
"Some easy EMI questions ",question,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md,"Sep 23, 2020 4:30 PM",Soutrik das,
"A conducting wire of parabolic shape, initially $y=x^2$ , is moving with velocity $\vec V=V_0 \hat i$ in a non uniform magnetic field $\vec B=B_0\left( 1+\left( \frac y L \right) ^\beta \right) \hat k$. If $V_0$ , $B_0$, $L$ and $\beta$ are positive constants and $\Delta \phi$ is the potential difference developed between the ends of the wire, then which statement is correct ","adv, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md","Sep 23, 2020 5:23 PM",Soutrik das,
"The correct order of acid strength of carboxylic acids ","adv, chemistry, doubt, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"Sep 23, 2020 2:32 PM",Soutrik das,
JEE ADV Questions,,,,"Sep 26, 2020 7:41 AM",Soutrik das,
EPASR,,,,"Sep 22, 2020 5:03 PM",Soutrik das,
Centrifugal and Centripetal Force,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Atomic%20Structure%209f25389bb5e84705b3194a7e4aeb473b.md,"Sep 22, 2020 11:31 AM",Soutrik das,
"Atomic Structure ","chapter, chemistry",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Centrifugal%20and%20Centripetal%20Force%2021d343001d034d23be45afa5ef4c47f7.md,,"Sep 22, 2020 12:00 PM",Soutrik das,
"Quantum Numbers ",chemistry,,,"Sep 22, 2020 9:01 AM",Soutrik das,
"The Chemical History of Candle ",,,,"Sep 21, 2020 8:14 PM",Soutrik das,
"CMD ",,,,"Nov 17, 2020 3:27 PM",Soutrik das,
Pointers C++,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/C++%20af78ebe91d7e4bd78a6245cc8bc0e666.md,"Oct 11, 2020 9:15 PM",Soutrik das,
Find Electric Flux when equation of Electric Field is given as $E=E_0(\beta x^2\hat i +2\hat j+15 \hat k)$,"physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Electric%20Field%20(%20Gauss%20Law%20)%20d957b7fe60664b469168b278edad7ca0.md,"Sep 26, 2020 3:47 PM",Soutrik das,
A current carrying wire heats a metal rod. The wire provides a constant power ($P$) to the rod. The metal rod is enclosed in an insulated container. It is observed that  the temperature $(T)$ in the metal rod changes with time $(t)$as $T(t)=T_0(1+\beta t^{\frac 14})$ where $\beta$ is a constant with appropriate dimension while $T_0$ is a constant with dimension of Temperature. What is the heat capacity of the metal?,"adv, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"Sep 23, 2020 2:31 PM",Soutrik das,
A Thin Spherical insulating shell of Radius $R$ carries a uniformly distributed charge  such that the potential at its surface is $V_o$. A hole with a small area $\alpha 4 \pi R^2 (\alpha <<1)$ is made on the shell  without affecting the rest of the shell . Which is correct ?,,,,"Sep 19, 2020 11:11 AM",Soutrik das,
JEE ADV 2019 paper 1,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Consider%20a%20spherical%20gaseous%20cloud%20of%20mass%20density%2015d7cd8b741b472c83d2a848a9025faa.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20current%20carrying%20wire%20heats%20a%20metal%20rod%20The%20wire%20fbcef34181724aa9807dde75231aef75.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20In%20a%20radioactive%20sample,%20%5E%7B40%7D%20_%7B19%7DK%20nucl%20745a354fff4d445b842e1d3baa92b045.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/The%20correct%20order%20of%20acid%20strength%20of%20carboxylic%20a%20d1115d5f1b2b4d9da94ebcf0a4b8a3dc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20cylindrical%20capillary%20tube%20of%200%202%20mm%20radius%20is%20m%202b54ce7ef00a455592040d1fec07c0a7.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20conducting%20wire%20of%20parabolic%20shape,%20initially%20y=%207a79f0c4003140cf8d95b60ea48bb24c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20charged%20shell%20of%20radius%20R%20carries%20a%20total%20charge%204f157553c7064ffebba75e31654d4e25.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/In%20the%20circuit%20shown,%20initially%20there%20is%20no%20charge%208e5f10ffb6b346daa9f3f9e216ba0a67.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/One%20mole%20of%20a%20monoatomic%20ideal%20gas%20goes%20through%20a%20%2019f02ca282ee4492b14fc9dcfc9cd179.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20thin%20convex%20lens%20is%20made%20of%20two%20materials%20with%20r%205684d9a522eb4c5e88d1c99f3010110e.md",,"Sep 26, 2020 7:42 AM",Soutrik das,
Technology,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Embed%20Google%20Photos(not%20gif)%20into%20Notion%209e82190d902a49da85796d3fe9a682fe.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Embed%20Big%20Gif%20files%20into%20Notion%2095a2e61c7aa543f1bd968b6acff00793.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Embed%20Codepens%20642b9cc277c747f59d454c85895f29a7.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Pending%20Review%20Page%20(%20Page%20Tag%20)%206018cebcfa3e42bea458a555246ab302.md,"Oct 9, 2020 9:10 PM",Soutrik das,
Algorithm,cs,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Print%20all%20Combination%20of%20r%20itemrs%20in%20a%20list%20of%20n%20i%20bdb669b41f654006879ef82c950dc944.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Antti%20Larson%20-%20Guide%20to%20Competitive%20Programming%20C+%20c2e24064f07a426291ab856eb41c3e45.md",,"Oct 13, 2020 8:03 PM",Soutrik das,
Taylor Series Expansion,maths,,,"Oct 2, 2020 7:02 PM",Soutrik das,
Think Stats,book,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Books%20c09fa9d40bfa499ba9545c5017dd2010.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md","Oct 9, 2020 9:32 PM",Soutrik das,
"Manim ",maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md,"Oct 9, 2020 9:33 PM",Soutrik das,
Matrix Determinant (Cookbook),"chapter, maths",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Linear%20Algebra%2065ba3d6a197e4a3185978c1dcf3845be.md,"Oct 2, 2020 3:22 PM",Soutrik das,
"Deep Learning ( Nielsons Book ) ",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,,"Oct 1, 2020 4:27 PM",Soutrik das,
"Diagnosing Neural Networks ","aiml, data science",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"Oct 1, 2020 3:33 PM",Soutrik das,
Linear Algebra,chapter,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Matrix%20Determinant%20(Cookbook)%20064e452271144bcd9eeb92b4668c0e2c.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,"Sep 30, 2020 1:10 PM",Soutrik das,
Excercise,,,,"Oct 8, 2020 11:20 AM",Soutrik das,
Nutrition,,,,"Sep 30, 2020 8:45 AM",Soutrik das,
three.js,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Multivariable%20Calculus%206ce8e7f50891492bad2c6a31d0dbb7e1.md,,"Sep 29, 2020 8:15 PM",Soutrik das,
"Multivariable Calculus ","chapter, maths",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/three%20js%202046713f87c64c2da1812a98f8cc20ce.md,"Sep 30, 2020 4:36 PM",Soutrik das,
"Matplotlib ",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md","Oct 9, 2020 9:33 PM",Soutrik das,
Gauss-Jordan Elimination,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,"Sep 29, 2020 4:21 PM",Soutrik das,
LU Decomposition,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,"Sep 29, 2020 4:20 PM",Soutrik das,
Gaussian Elimination,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,"Sep 29, 2020 4:20 PM",Soutrik das,
Numerical Analysis,"aiml, data science, maths","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Gaussian%20Elimination%20db9a562b83654e55977775ee38580604.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/LU%20Decomposition%206d396b33d0354d1ea61513c005a86c73.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Gauss-Jordan%20Elimination%209b380ad490914edd8970121fa886b69a.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Linear%20Algebra%2065ba3d6a197e4a3185978c1dcf3845be.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"Sep 30, 2020 11:59 AM",Soutrik das,
NumPy,"aiml, data science, maths",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"Sep 29, 2020 4:45 PM",Soutrik das,
Sublime Text,,,,"Oct 31, 2020 4:50 PM",Soutrik das,
"Deep Learning ","aiml, data science","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/NumPy%20e8320948215b4ffeb824a8756c7f33cc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Matplotlib%203b87d785ac084fa8b00de436bb24b41d.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Diagnosing%20Neural%20Networks%2017b2dfe8c703496fb9ba83180f8baaf1.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Think%20Stats%20e488afe492224725ae4c64c54a2b052e.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Deep%20Learning%20(%20Nielsons%20Book%20)%203b2b8d76d53748e78e6d6c9708b11ea9.md,"Oct 1, 2020 8:07 PM",Soutrik das,
"Regression ","aiml, data science",,,"Sep 28, 2020 7:53 AM",Soutrik das,
"As shown in the figure below the ideal gasses of equal amount substance are enclosed inside cylinders $A$ and $B$ ( $S_A$ and $S_B$ are cross sectional areas ) . the piston in A comes to rest at a distance $L_A$ from A's base, and the piston in B comes to rest at distance $L_B$ from B's base. The absolute temperature and pressure f the ideal gas inside B are $T_B$ and $p_B$ (and likewise for A ) . Ignore atmospheric pressure.",,,,"Sep 26, 2020 4:48 PM",Soutrik das,
"In the figure below, the switches $S_1$ and $S_2$ are closed simultaneously at $t=0$ and a current starts to flow in the circuit. Both the batteries have the same EMF. Ignore mutual inductance. The current $I$ in the middle wire reaches its maximum magnitude $I_{max}$ at time $t=\tau$",,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md,"Sep 26, 2020 5:21 PM",Soutrik das,
"Electric Field ( Gauss Law ) ","chapter, physics",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Find%20Electric%20Flux%20when%20equation%20of%20Electric%20Field%20d018bab25c6a405a96e94c0d7d9fa1ab.md,,"Sep 26, 2020 3:11 PM",Soutrik das,
"Charging Discharging Capacitor Inductor ( RC and LR ) ",physics,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md,"Sep 26, 2020 3:10 PM",Soutrik das,
"An automobile has a weight of 2700 lb and is traveling forward at 4 ft/s when it crashes into the wall. If the impact occurs in 0.06 s, determine the average impulsive force acting on the car. Assume the brakes are not applied. If the coefficient of kinetic friction between the wheels and the pavement is μk = 0.3, calculate the impulsive force on the wall if the brakes were applied during the crash. The brakes are applied to all four wheels so that all the wheels slip","physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/COM%20Center%20of%20Mass%20818fb800a90141c6955e53b5ae99345f.md,"Sep 26, 2020 11:25 AM",Soutrik das,
Rotational Mechanics,"chapter, physics",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Consider%20a%20body%20of%20mass%201kg%20at%20rest%20at%20the%20origin%20%20a5fea645754a4858910f5247fe48c1d6.md,,"Sep 26, 2020 3:10 PM",Soutrik das,
"Consider a body of mass $1kg$ at rest at the origin at time $t=0$. A force $\vec F=(\alpha t\hat i +\beta \hat j)$ is applied on the body, where $\alpha=1Ns^{-1}$ and $\beta=1N$. The torque acting on the body about the origin at time $t=1s$ is $\vec \tau$, Which are true ? ","doubt cleared, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Rotational%20Mechanics%204ed592873b3d432b99c2bb7f12e1635e.md","Oct 9, 2020 9:40 PM",Soutrik das,
"The potential energy of a particle of mass $m$ at a distance $r$ from a fixed point $O$ is given by $V(r)=kr^2/2$, where $k$ is a positive constant. This particle is moving in a circular orbit of radius $R$ about the point $O$. If $v$ is the speed of the particle and $L$ is the magnitude of its angular momentum about $O$, which are correct ?","adv, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md,"Sep 26, 2020 8:11 AM",Soutrik das,
JEE ADV 2018 paper 1,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/The%20potential%20energy%20of%20a%20particle%20of%20mass%20m%20at%20a%20%2089a3ab09edc74fc1a49aac317c2d6f30.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Consider%20a%20body%20of%20mass%201kg%20at%20rest%20at%20the%20origin%20%20a5fea645754a4858910f5247fe48c1d6.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/In%20the%20figure%20below,%20the%20switches%20S_1%20and%20S_2%20are%20%20aa33d3e50a9e4613bb48996443aaf0aa.md",,"Sep 26, 2020 7:43 AM",Soutrik das,
Conversion 1,chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Conversion%20db9e787fa36c4ba5afd8a879bf34dd5c.md,"Oct 10, 2020 7:08 PM",Soutrik das,
Conversion,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Conversion%201%207f226bb89c0f45308161db9bb3e9a285.md,,"Sep 25, 2020 6:24 PM",Soutrik das,
"Surface Chemistry ",,,,"Sep 25, 2020 4:46 PM",Soutrik das,
"Removing =O ",chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md,"Oct 10, 2020 6:59 PM",Soutrik das,
"Two identical moving coild galvanometers have 10 $\Omega$ resistance and full scale deflection at 2 $\mu A$ current. One of them is converted into a voltmeter of $100mV$ full scale reading and the other into an ammeter of $1mA$ full scale reading using appropriate resistors. These are then used to measure the voltage and current in the ohms law experiment with $R=1000\Omega$ by using an ideal cell ","adv, question",,,"Sep 24, 2020 6:55 PM",Soutrik das,
"Lower end of a uniform inextensible rope of mass $2$ kg and length $4m$ is attached to a block of mass $7.5kg$ placed on a horizontal floor. $\mu=0.5$. The uppoer end of the rope is held $2m$ above the lower end so that the tangent at the lower end remains http://horizontal.In this situation , the block stays standstill on the floor. $g=10$","adv, doubt, physics, question",,,"Sep 24, 2020 4:48 PM",Soutrik das,
"A thin convex lens is made of two materials with refractive indices $n_1$ and $n_2$, as shown. The radius of curvature of the left and right spherical surfaces are equal. $f$ is the focal length of the lens when $n_1=n_2=n$. The fola length is $f+\Delta f$ when $n_1=n$ and $n_2=n+\Delta n$. Assuming $\Delta n <<(n-1)$ and $1<n<2$, what is correct ","adv, doubt cleared, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Optics%209bb9f3e50d454a969522b72343c81b20.md","Oct 9, 2020 9:40 PM",Soutrik das,
"One mole of a monoatomic ideal gas goes through a thermodynamic cycle, as shown in the volume versus Temperature ($V-T$) diagram","adv, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"Sep 24, 2020 2:19 PM",Soutrik das,
Embed Big Gif files into Notion,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Technology%204de1a6b8321042ff8745fedc23514a99.md,"Sep 24, 2020 8:55 AM",Soutrik das,
Embed Google Photos(not gif) into Notion,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Technology%204de1a6b8321042ff8745fedc23514a99.md,"Sep 24, 2020 8:53 AM",Soutrik das,
"Consider a spherical gaseous cloud of mass density $\rho(r)$ in free space where r is the radial distance from its center. The gaseous cloud is made of particles of equal mass $m$ moving in circular orbits around the common center with the same kinetic energy $K$  The force acting on the particles is their mutual gravitational force. If $\rho(r)$ is constant with time , the particle density $n(r)=\rho (r)/m$ is ?","adv, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Leibnitz%20Theorem%20for%20Implicit%20Functions%206585481f6320423ab06910df2464e089.md","Sep 23, 2020 2:31 PM",Soutrik das,
